orderid,customerid,orderplaceddatetime,ordercompletiondatetime,orderstatus
1,10,2005-12-16 17:31:38,2005-12-16 17:31:38,InProgress
2,3,2021-10-28 21:29:14,2021-10-28 21:29:14,InProgress
3,9,1990-10-21 09:39:34,1990-10-21 09:39:34,Cancelled
4,10,2001-09-24 13:52:47,2001-09-24 13:52:47,Cancelled
5,4,2018-01-30 02:06:31,2018-01-30 02:06:31,Cancelled
6,1,1993-04-05 03:19:20,1993-04-05 03:19:20,InProgress
7,2,2019-02-04 01:17:46,2019-02-04 01:17:46,InProgress
8,1,1979-01-13 09:18:36,1979-01-13 09:18:36,InProgress
9,8,2007-05-15 13:33:03,2007-05-15 13:33:03,Completed
10,10,2003-04-14 21:20:52,2003-04-14 21:20:52,Completed
11,1,2009-11-17 06:37:30,2009-11-17 06:37:30,Cancelled
12,5,2002-08-13 15:37:50,2002-08-13 15:37:50,InProgress
13,7,1972-02-17 08:13:24,1972-02-17 08:13:24,Completed
14,9,2010-07-27 07:32:04,2010-07-27 07:32:04,Completed
15,6,2000-11-27 14:21:41,2000-11-27 14:21:41,Completed
16,8,2005-11-05 14:42:20,2005-11-05 14:42:20,InProgress
17,10,1981-11-12 20:02:04,1981-11-12 20:02:04,InProgress
18,2,1989-01-18 11:35:15,1989-01-18 11:35:15,Cancelled
19,3,2007-09-30 11:31:13,2007-09-30 11:31:13,Cancelled
20,9,1991-03-17 00:21:30,1991-03-17 00:21:30,Cancelled
21,7,1995-09-28 04:41:55,1995-09-28 04:41:55,Cancelled
22,9,2000-06-11 05:15:05,2000-06-11 05:15:05,Cancelled
23,1,1998-10-29 05:14:20,1998-10-29 05:14:20,InProgress
24,7,1992-11-18 15:40:20,1992-11-18 15:40:20,InProgress
25,9,1981-11-18 15:33:50,1981-11-18 15:33:50,Completed
26,5,1972-04-17 21:46:31,1972-04-17 21:46:31,InProgress
27,9,1973-07-14 14:32:47,1973-07-14 14:32:47,InProgress
28,5,1970-09-27 18:29:28,1970-09-27 18:29:28,Completed
29,6,1974-06-11 21:10:33,1974-06-11 21:10:33,Completed
30,8,1979-06-14 02:07:00,1979-06-14 02:07:00,Completed
31,10,2006-06-01 05:03:07,2006-06-01 05:03:07,Cancelled
32,6,1978-03-09 02:20:08,1978-03-09 02:20:08,Completed
33,4,2010-12-03 00:39:27,2010-12-03 00:39:27,Cancelled
34,2,2021-04-01 16:51:31,2021-04-01 16:51:31,Cancelled
35,3,1996-03-24 21:06:22,1996-03-24 21:06:22,Completed
36,10,1993-03-23 11:44:02,1993-03-23 11:44:02,Cancelled
37,8,1976-06-29 14:17:48,1976-06-29 14:17:48,InProgress
38,3,1989-12-25 15:37:47,1989-12-25 15:37:47,InProgress
39,4,1970-11-11 08:32:12,1970-11-11 08:32:12,Completed
40,7,2020-06-15 21:51:39,2020-06-15 21:51:39,Completed
41,2,1973-07-21 17:05:13,1973-07-21 17:05:13,Cancelled
42,4,2020-12-31 18:47:40,2020-12-31 18:47:40,Cancelled
43,8,2002-08-24 14:46:51,2002-08-24 14:46:51,Completed
44,9,1987-09-08 13:34:44,1987-09-08 13:34:44,Completed
45,10,1972-08-21 21:52:23,1972-08-21 21:52:23,Cancelled
46,6,1996-02-18 10:10:29,1996-02-18 10:10:29,InProgress
47,5,2006-12-25 02:04:50,2006-12-25 02:04:50,Completed
48,5,2006-02-19 12:25:33,2006-02-19 12:25:33,Cancelled
49,6,1993-12-24 17:25:18,1993-12-24 17:25:18,Cancelled
50,10,1977-05-28 23:34:36,1977-05-28 23:34:36,InProgress
51,7,1991-04-01 03:02:31,1991-04-01 03:02:31,InProgress
52,8,2011-04-03 01:25:06,2011-04-03 01:25:06,Completed
53,7,2006-08-10 09:26:34,2006-08-10 09:26:34,Cancelled
54,1,1973-07-01 23:31:38,1973-07-01 23:31:38,InProgress
55,2,1972-02-14 09:42:53,1972-02-14 09:42:53,Completed
56,8,1978-11-24 21:22:22,1978-11-24 21:22:22,InProgress
57,10,2011-08-31 03:02:55,2011-08-31 03:02:55,Cancelled
58,10,2012-08-19 22:22:04,2012-08-19 22:22:04,Completed
59,5,1995-07-09 11:58:48,1995-07-09 11:58:48,Completed
60,1,2011-11-14 05:27:34,2011-11-14 05:27:34,InProgress
61,6,2010-08-19 20:49:40,2010-08-19 20:49:40,Completed
62,4,1976-05-29 21:52:38,1976-05-29 21:52:38,Completed
63,4,1983-03-03 15:37:19,1983-03-03 15:37:19,Cancelled
64,1,2016-03-08 04:25:12,2016-03-08 04:25:12,InProgress
65,2,1991-04-14 23:02:43,1991-04-14 23:02:43,Cancelled
66,6,2005-07-30 03:49:26,2005-07-30 03:49:26,Completed
67,9,1976-06-28 10:12:02,1976-06-28 10:12:02,Cancelled
68,1,1990-07-07 20:10:43,1990-07-07 20:10:43,Completed
69,4,1999-02-19 16:14:46,1999-02-19 16:14:46,Cancelled
70,8,1978-12-21 21:49:20,1978-12-21 21:49:20,Completed
71,1,1973-06-28 23:16:24,1973-06-28 23:16:24,InProgress
72,9,1971-08-28 19:28:06,1971-08-28 19:28:06,Cancelled
73,8,2005-12-29 14:13:58,2005-12-29 14:13:58,Cancelled
74,3,1987-04-09 00:25:11,1987-04-09 00:25:11,Completed
75,9,2001-04-16 23:00:12,2001-04-16 23:00:12,Completed
76,7,1982-08-09 04:46:37,1982-08-09 04:46:37,Completed
77,8,1970-11-01 07:56:14,1970-11-01 07:56:14,Completed
78,5,2009-08-12 14:20:31,2009-08-12 14:20:31,Completed
79,3,2005-09-08 19:42:04,2005-09-08 19:42:04,Completed
80,8,2007-11-18 12:09:49,2007-11-18 12:09:49,Completed
81,5,1988-09-29 02:10:26,1988-09-29 02:10:26,Completed
82,7,1998-09-23 04:30:25,1998-09-23 04:30:25,Completed
83,9,1987-08-23 01:45:11,1987-08-23 01:45:11,Completed
84,6,1989-01-07 16:43:56,1989-01-07 16:43:56,InProgress
85,5,1991-12-26 15:17:25,1991-12-26 15:17:25,InProgress
86,4,2021-07-23 12:26:19,2021-07-23 12:26:19,Completed
87,1,1972-04-09 13:59:31,1972-04-09 13:59:31,Completed
88,1,2020-11-03 01:44:32,2020-11-03 01:44:32,InProgress
89,5,1999-03-11 14:42:29,1999-03-11 14:42:29,Cancelled
90,5,1989-12-18 14:58:35,1989-12-18 14:58:35,InProgress
91,8,1985-03-17 08:09:16,1985-03-17 08:09:16,Cancelled
92,10,1988-08-09 13:15:26,1988-08-09 13:15:26,InProgress
93,1,1978-04-05 10:36:15,1978-04-05 10:36:15,InProgress
94,10,1971-06-08 20:11:00,1971-06-08 20:11:00,Completed
95,7,1992-08-03 01:28:54,1992-08-03 01:28:54,Completed
96,2,2021-12-23 19:32:21,2021-12-23 19:32:21,Completed
97,3,1995-09-01 04:55:09,1995-09-01 04:55:09,Cancelled
98,1,1972-05-06 13:02:19,1972-05-06 13:02:19,Completed
99,8,1993-06-06 19:27:57,1993-06-06 19:27:57,Completed
100,4,1994-02-04 13:42:52,1994-02-04 13:42:52,InProgress
101,10,1974-05-27 22:53:11,1974-05-27 22:53:11,Cancelled
102,3,2014-10-22 20:42:03,2014-10-22 20:42:03,InProgress
103,2,1995-03-29 19:55:02,1995-03-29 19:55:02,Cancelled
104,10,1998-05-20 16:52:25,1998-05-20 16:52:25,Completed
105,8,2017-04-19 15:52:56,2017-04-19 15:52:56,Completed
106,7,1988-06-19 07:35:39,1988-06-19 07:35:39,InProgress
107,5,1992-06-15 11:55:47,1992-06-15 11:55:47,InProgress
108,3,2005-08-18 01:45:44,2005-08-18 01:45:44,Completed
109,5,2020-07-09 16:36:48,2020-07-09 16:36:48,Cancelled
110,4,1982-12-02 17:18:33,1982-12-02 17:18:33,InProgress
111,2,1971-09-14 22:24:20,1971-09-14 22:24:20,Cancelled
112,3,2000-02-09 08:13:23,2000-02-09 08:13:23,InProgress
113,8,2010-10-17 09:26:08,2010-10-17 09:26:08,Cancelled
114,4,2008-06-01 10:02:48,2008-06-01 10:02:48,InProgress
115,3,2004-09-20 00:05:01,2004-09-20 00:05:01,Cancelled
116,9,1981-06-19 14:42:35,1981-06-19 14:42:35,InProgress
117,10,1986-03-25 15:38:17,1986-03-25 15:38:17,InProgress
118,7,1996-12-01 10:45:49,1996-12-01 10:45:49,InProgress
119,8,2000-08-16 18:21:39,2000-08-16 18:21:39,Completed
120,8,2017-04-07 04:57:30,2017-04-07 04:57:30,InProgress
121,2,1973-05-20 05:22:38,1973-05-20 05:22:38,Cancelled
122,3,1974-05-03 13:50:55,1974-05-03 13:50:55,Cancelled
123,4,1990-03-26 23:41:34,1990-03-26 23:41:34,Cancelled
124,4,1995-05-09 09:44:53,1995-05-09 09:44:53,InProgress
125,4,1976-10-06 04:27:25,1976-10-06 04:27:25,Cancelled
126,2,1994-05-15 10:48:22,1994-05-15 10:48:22,InProgress
127,3,1980-10-16 15:47:15,1980-10-16 15:47:15,Cancelled
128,8,2013-02-21 06:53:10,2013-02-21 06:53:10,Completed
129,6,2011-05-26 01:39:32,2011-05-26 01:39:32,Cancelled
130,3,2014-09-14 05:25:16,2014-09-14 05:25:16,InProgress
131,2,2016-08-09 07:16:28,2016-08-09 07:16:28,Completed
132,6,2015-09-18 12:19:00,2015-09-18 12:19:00,Cancelled
133,9,2018-12-03 23:41:03,2018-12-03 23:41:03,Cancelled
134,8,2010-01-04 21:45:38,2010-01-04 21:45:38,Cancelled
135,7,2006-08-26 05:51:33,2006-08-26 05:51:33,InProgress
136,6,2011-04-08 12:10:46,2011-04-08 12:10:46,InProgress
137,3,2012-11-22 16:00:31,2012-11-22 16:00:31,Completed
138,9,1984-06-14 00:15:50,1984-06-14 00:15:50,Cancelled
139,6,1976-08-24 20:57:34,1976-08-24 20:57:34,Completed
140,3,1975-12-22 05:24:08,1975-12-22 05:24:08,Completed
141,10,1981-10-01 01:36:37,1981-10-01 01:36:37,Completed
142,5,2013-11-22 14:40:51,2013-11-22 14:40:51,InProgress
143,1,2001-10-25 12:17:51,2001-10-25 12:17:51,Completed
144,4,1971-09-12 10:22:19,1971-09-12 10:22:19,InProgress
145,9,2018-04-11 04:26:00,2018-04-11 04:26:00,InProgress
146,3,2017-01-09 03:30:29,2017-01-09 03:30:29,InProgress
147,10,2018-07-12 23:30:59,2018-07-12 23:30:59,Completed
148,1,1990-09-25 01:44:12,1990-09-25 01:44:12,Cancelled
149,4,1998-11-15 03:52:14,1998-11-15 03:52:14,Cancelled
150,7,1998-09-11 20:05:02,1998-09-11 20:05:02,Cancelled
151,7,1990-03-29 05:06:42,1990-03-29 05:06:42,Cancelled
152,7,1975-11-02 06:14:58,1975-11-02 06:14:58,Completed
153,9,2003-05-01 10:17:57,2003-05-01 10:17:57,Completed
154,3,1989-09-29 21:32:22,1989-09-29 21:32:22,InProgress
155,3,1998-02-10 13:37:18,1998-02-10 13:37:18,Completed
156,10,1992-10-24 12:49:42,1992-10-24 12:49:42,InProgress
157,8,1971-01-16 23:01:18,1971-01-16 23:01:18,Cancelled
158,3,1991-04-22 05:28:41,1991-04-22 05:28:41,Cancelled
159,3,2011-08-12 15:42:00,2011-08-12 15:42:00,Cancelled
160,5,2002-06-01 14:56:18,2002-06-01 14:56:18,Cancelled
161,3,1989-10-15 11:41:25,1989-10-15 11:41:25,Cancelled
162,4,1980-09-17 10:14:24,1980-09-17 10:14:24,InProgress
163,5,2002-06-07 17:14:25,2002-06-07 17:14:25,Completed
164,9,1993-05-30 14:24:58,1993-05-30 14:24:58,InProgress
165,9,2021-08-06 11:21:46,2021-08-06 11:21:46,Completed
166,8,1978-12-06 16:52:08,1978-12-06 16:52:08,Cancelled
167,7,1997-08-06 16:37:39,1997-08-06 16:37:39,InProgress
168,1,1997-07-28 19:33:22,1997-07-28 19:33:22,InProgress
169,10,1970-02-10 17:25:16,1970-02-10 17:25:16,Cancelled
170,4,1976-04-29 08:56:33,1976-04-29 08:56:33,Completed
171,9,2005-11-11 14:22:37,2005-11-11 14:22:37,InProgress
172,1,1987-09-13 12:07:03,1987-09-13 12:07:03,Completed
173,2,1990-02-07 02:19:17,1990-02-07 02:19:17,Completed
174,6,1988-05-24 09:01:17,1988-05-24 09:01:17,Cancelled
175,6,1977-03-30 15:23:34,1977-03-30 15:23:34,InProgress
176,3,1973-05-25 10:09:19,1973-05-25 10:09:19,Cancelled
177,8,2017-07-11 23:01:18,2017-07-11 23:01:18,Cancelled
178,2,2001-08-05 04:35:44,2001-08-05 04:35:44,Completed
179,9,1998-01-29 16:49:24,1998-01-29 16:49:24,InProgress
180,8,2006-03-04 14:54:10,2006-03-04 14:54:10,InProgress
181,8,1974-06-08 12:07:20,1974-06-08 12:07:20,Cancelled
182,8,1983-11-06 08:59:07,1983-11-06 08:59:07,InProgress
183,3,2020-06-26 03:40:04,2020-06-26 03:40:04,InProgress
