orderid,productid,quantity
1,29,7
2,27,9
3,23,1
4,8,3
5,31,17
6,40,4
7,34,3
8,24,4
9,4,5
10,31,13
11,37,1
12,38,18
13,38,2
14,18,11
15,13,5
16,48,6
17,14,18
18,14,13
19,33,14
20,17,4
21,36,16
22,28,4
23,17,8
24,2,3
25,41,20
26,1,17
27,27,13
28,48,13
29,2,15
30,47,3
31,42,17
32,34,2
33,7,13
34,30,8
35,46,7
36,26,14
37,24,2
38,6,2
39,13,8
40,9,10
41,10,1
42,15,18
43,49,7
44,26,1
45,27,1
46,16,14
47,42,13
48,30,7
49,43,2
50,24,4
51,36,18
52,9,17
53,44,3
54,9,13
55,20,14
56,47,4
57,18,5
58,13,4
59,42,14
60,9,2
61,17,7
62,11,20
63,25,17
64,35,13
65,21,4
66,2,20
67,46,7
68,34,1
69,6,20
70,16,6
71,50,11
72,5,10
73,8,2
74,19,8
75,43,5
76,1,12
77,36,3
78,13,14
79,8,14
80,30,12
81,46,15
82,26,15
83,9,6
84,6,6
85,13,19
86,25,18
87,6,13
88,19,18
89,43,13
90,37,3
91,1,11
92,7,3
93,30,7
94,50,6
95,26,13
96,13,18
97,30,19
98,6,13
99,23,4
100,34,20
101,9,11
102,19,5
103,16,18
104,36,13
105,31,6
106,8,17
107,47,16
108,3,9
109,20,16
110,47,8
111,33,19
112,42,15
113,8,15
114,46,10
115,8,14
116,35,3
117,24,2
118,38,11
119,38,19
120,30,7
121,44,7
122,36,13
123,34,17
124,38,1
125,32,7
126,26,20
127,3,5
128,28,9
129,31,17
130,16,1
131,32,12
132,8,20
133,33,16
134,32,20
135,38,4
136,13,15
137,45,2
138,23,8
139,20,9
140,39,15
141,34,1
142,40,12
143,8,17
144,13,13
145,15,8
146,3,8
147,17,20
148,28,10
149,39,2
150,9,4
151,37,7
152,48,4
153,41,16
154,4,1
155,33,8
156,29,7
157,42,2
158,48,7
159,38,10
160,48,8
161,2,9
162,4,20
163,31,3
164,5,7
165,44,13
166,39,5
167,21,17
168,36,1
169,11,8
170,44,12
171,15,14
172,3,15
173,5,19
174,39,12
175,21,8
176,8,19
177,14,11
178,26,6
179,28,14
180,50,10
181,6,15
182,2,1
183,28,6
184,18,15
185,23,18
186,23,12
187,44,13
188,48,15
189,33,17
190,9,4
191,2,1
192,11,7
193,44,13
194,29,17
195,23,4
196,25,20
197,2,17
198,10,1
199,45,8
200,13,18
201,49,6
202,9,2
203,8,11
204,49,4
205,38,7
206,38,15
207,28,10
208,49,2
209,4,19
210,3,20
211,7,15
212,23,18
213,4,12
214,37,12
215,2,14
216,18,18
217,43,19
218,6,16
219,12,12
220,25,13
221,33,6
222,33,8
223,8,15
224,9,11
225,50,1
226,29,4
227,10,10
228,45,11
229,31,13
230,44,3
231,1,2
232,29,10
233,36,17
